order,book,description,title
"0001","Genesis","The book of Genesis is a book of beginnings - the beginning of the world, of the human race, of a man of faith and a family of faith.  It can easily be divided into the lives of the principal characters of the book:
Adam - Genesis 1-5
Noah - Genesis 6-11
Abraham - Genesis 12-25
Isaac - Genesis 26
Jacob - Genesis 27-36
Joseph - Genesis 37-50
Genesis is above all the beginning of God's self-revelation.  God reveals both his power and character through his names.  It is also the beginning of the revelation of God's plan of salvation for a lost human race.
Listen now!","Genesis"
"0002","Exodus","The name ""Exodus"" is a Latin word taken from the Greek ""Exodos"", which was the name the translators gave the book when they translated the Hebrew version into the Greek Old Testament known as the Septuagint (LXX).  This name was retained by the Latin Vulgate and found its way into the English as well.  The word means ""departure"" and refers to the main event of the book, if not the Old Testament, namely the deliverance of the Hebrews from Egyptian bondage.  The first five books of the Bible are known as the Pentateuch, namely Genesis, Exodus, Leviticus, Numbers and Deuteronomy.  They are also commonly called ""the five books of Moses"".
The key people in Exodus are the Hebrews, the descendants of Abraham, Isaac and Jacob, who had now spent over 400 years in Egypt.  The key person is Moses, who is commonly held to be the author of the Pentateuch.
Moses' life can easily be divided into three time periods - all contained in the book of Exodus:
Moses' birth and life in Egypt 40 years  Exodus 1 - 4a
Moses' life in the Sinai Desert 40 years  Exodus 4b - 12
Moses' leadership of Israel    40 years  Exodus 13 - 40
Obviously, the majority of the book is covered by chapters 13 - 40.  These chapters include a time period of ca. 40 years.  But, most of the activity of chapters 13 - 40 covers only about two years.  The other 38 years were spent in the wilderness wanderings.  Those wanderings are covered mainly in the book of Numbers.
The book of Leviticus is a manual, covering the offerings of the Tabernacle worship, the priests and other laws.
Deuteronomy is a recap of the books of the Pentateuch exclusive of Genesis. It also records the passing of Moses.
Listen now!
","Exodus"
"0004","Numbers","The book of Numbers comes from the Septuagint (LXX) and is named for the census lists found in chapters 1 and 26.  The Hebrew title of this book is ""bemidbar"" and means ""in the desert"", which covers the content of the book more accurately.  This is the record of the ca. 40 year wilderness wanderings of Israel before they entered the Promised Land.
Listen now!","Numbers"
"0006","Joshua","Joshua is a record of the conquest of the Promised Land.  After some 400 years of bondage in Egypt and now 40 years in the wilderness, Joshua and the people entered the land promised to Abraham, Isaac and Jacob.  They first had to overcome the kings of Canaan before they could distribute the land to the 12 tribes of Israel.
Listen Now!","Joshua"
"0007","Judges","Judges tells of the leaders of Israel between Joshua and the beginning of the monarchy, a period of three to four hundred years.  There is a recurring cycle at this time in the life of Israel: sin, domination by a foreign power, repentance on the part of Israel, and finally, God raises up a judge who delivers Israel from foreign domination.  A time of peace and prosperity followed before the cycle was repeated all over again - apostasy, oppression, repentance, deliverance. It happened at least seven times.
There were at least 14 judges, with six major judges:  Othniel, Ehud, Deborah, Gideon, Jephthah and Samson.
This period in the life of Israel is characterized by unfaithfulness to God and general spiritual decline.  It is described in the last verse of the book: ""In those days Israel had no king; everyone did as he saw fit."" (Judges 21:25)
Listen Now!","Judges"
"0008","Ruth","Ruth is a short love story of four chapters.  It is a bright spot in the otherwise dark period of the Judges.  In the story, God brings together Ruth of Moab and Boaz of Israel.  Of great significance is the fact that Boaz and Ruth are in the genealogy of King David and of the Messiah, Jesus Christ (Matthew 1:5-6 and Luke3:32).  
Listen Now!","Ruth"
"0009","1st Samuel","First and Second Samuel are named after the man, Samuel, who transitioned Israel from the rule of the judges to the monarchy.  Samuel anointed both Saul and David as the first two successive kings of Israel.
First Samuel can be outlined in this manner:
Samuel's birth, youth and calling     1 Samuel 1-7
The establishment of the kingship   1 Samuel 8-12
The failure of Saul's kingship      1 Samuel 13-15
David's rise to power        1 Samuel 16-31
The lessons below concern themselves primarily with the life of David before he became king.
Listen Now!","1st Samuel"
"0010","2nd Samuel","Second Samuel is all about David's kingship and family.  He ruled seven years over Judah and thirty-three years over the United Kingdom of the south (Judah) and the north (Israel) for a total of 40 years.  During this reign there were highs and lows.  But through it all David showed, that in spite of his imperfections, he had a heart for God.
Second Samuel can be outlined in the following manner:
David becomes king over Judah        2 Samuel 1-4
David becomes king over all Israel      2 Samuel 5:1-5
David conquers Jerusalem      2 Samuel 5:6-25
David brings the Ark to Jerusalem      2 Samuel 6
David is promised an everlasting kingdom    2 Samuel 7
David's kingdom is geographically extended   2 Samuel 8
David faithful to his agreement with Jonathan   2 Samuel 9
David commits adultery and murder     2 Samuel 10-12
David's sons Amnon and Absalom are lost    2 Samuel 13-20
David's reign is considered        2 Samuel 21-24
The lessons below concern themselves with the life of David as king.
Listen Now!","2nd Samuel"
"0011","1st Kings","The book of First Kings covers the very end of the Davidic reign, the reign of his son Solomon over the United Kingdom, the building of the Temple, and after Solomon's death, the division of the kingdom into two parts - Israel in the north and Judah in the south.  
In the Hebrew Old Testament the books of First and Second Kings are one book.  The Septuagint (LXX, the Greek translation of the Old Testament) translators of the Hebrew Old Testament divided the book.
Because of sin, namely idolatry, both kingdoms were eventually carried away into captivity - first the northern Kingdom of Israel (by the Assyria in 722 B.C.) and second the southern Kingdom of Judah by Babylonia in 586 B.C.  
But God did not punish his people quickly.  In much patience and mercy he sent prophets to both kingdoms in an attempt to get the kings and the people to repent.  All the kings of the northern kingdom were evil.  Some of the kings of the southern kingdom were good but many were bad.  In the end, God had to punish both the north and the south.
First Kings records the ministry of the great prophet Elijah to the northern kingdom of Israel.  The four lessons below report on this ministry.
Listen Now!
","1st Kings"
"0012","2nd Kings","The book of Second Kings covers the last 130 years of the Northern Kingdom of Israel and the last 250 years of the Southern Kingdom of Judah.  It records the translation of the prophet Elijah into heaven in a fiery chariot and the subsequent ministry of his successor, Elisha.  The prophet Elisha ministered to Israel, Judah and even to foreign countries.
""The LORD warned Israel and Judah through all his prophets and seers: 'Turn from your evil ways.  Observe my commands and decrees, in accordance with the entire Law that I commanded your fathers to obey and that I delivered to you through my servants the prophets.' But they would not listen…they rejected his decrees and the covenant he had made with their fathers and the warnings he had given them.  They followed worthless idols and themselves became worthless."" (2Kings 17:13-15).  And so God gave them over to captivity by the world powers at the time.
The captivity of Israel by the Assyrian Empire in 722 B.C. is noted (17:23).  The captivity of Judah by the Babylonian Empire in 586 B.C. is also described with the destruction of Jerusalem, her walls and the Temple (25:21).
Second Kings records the end of Elijah's ministry and the ministry of the great prophet Elisha.  The record of Elisha's death (from natural causes) is found in 2Kings 13:20.
The seven lessons below report Elisha's ministries.
Listen Now!
","2nd Kings"
